x,y
1410,1414
1910,1341
9,1221
1112,528
48,1870
183,671
783,1431
320,1696
20,1615
1685,987
28,68
1372,207
94,723
249,583
721,1424
999,1972
1835,1705
496,1422
642,893
892,1757
557,1899
763,1773
304,711
472,1933
925,1884
1225,1559
668,586
1896,1377
613,523
1718,277
216,0
668,1783
1919,1576
1987,1900
718,89
1140,1579
21,1441
562,1398
1379,509
1572,449
647,214
328,1441
165,579
1827,1201
1795,214
652,1764
1417,1588
1327,1285
1547,1980
1489,1706
217,1538
740,1514
231,1388
939,1269
18,1121
452,1064
26,565
166,200
142,803
132,1288
1259,1953
9,1717
1985,1961
162,658
4,1784
856,27
1007,695
153,1347
1150,1812
1154,1387
833,1169
1606,43
891,1004
1169,668
1795,831
1402,505
1205,22
442,1462
1737,643
1130,215
968,1368
1150,1625
1978,1224
705,1236
826,513
1878,1318
679,684
933,1937
310,438
1245,66
482,796
599,1268
136,690
1041,1093
867,799
899,538
1469,619
363,1696
1826,994
1607,115
959,1120
1244,552
1495,1158
1197,1650
650,1260
1912,1820
1968,703
302,1598
1587,1522
1735,1559
1745,57
501,323
779,1548
1704,185
693,903
200,128
1493,1294
1386,1950
813,190
1099,763
1802,799
565,935
1976,169
1013,751
1100,1866
425,1222
920,1072
1523,694
1409,856
586,444
1065,171
1933,1927
257,387
1561,1244
1239,1428
934,1568
1676,1051
166,190
116,1343
1045,1562
1153,538
1705,1891
1732,1003
829,1220
1089,1179
511,1820
1586,61
1096,297
615,1812
1876,882
1937,94
752,815
1672,357
672,1332
664,1225
1657,405
281,582
969,1480
685,1276
548,561
872,1810
1589,1211
850,890
1124,445
633,1419
946,544
757,1724
1461,1687
1272,430
1241,954
148,586
207,1382
760,1344
417,1715
1049,1683
1843,1196
354,1597
1033,335
1297,1056
1816,104
1212,336
1829,1596
1478,881
87,1805
56,354
835,942
455,1548
1459,536
1981,1944
1257,1572
1402,1046
1261,851
906,587
1225,1368
1567,71
116,1133
1168,698
658,849
1510,1445
478,134
1963,1728
1024,923
1532,1196
608,1382
374,1420
873,578
501,1624
817,1094
1221,1521
1307,1654
1845,929
1805,1471
1872,447
948,1043
1919,552
453,1511
416,840
738,514
1578,1531
396,630
1588,1455
1701,1671
853,1277
1778,1800
730,843
1578,1325
351,714
1832,743
1331,380
1421,559
400,174
284,363
349,1078
179,163
697,1323
42,1062
1185,1211
1118,394
1793,607
900,259
312,213
185,1079
1250,861
639,131
97,1484
1809,1250
1882,731
1819,85
1600,511
331,985
711,1314
1264,1644
1133,1956
1698,153
568,1734
662,766
1865,1652
571,976
754,1935
1897,1720
1924,1968
619,1329
1717,286
1740,249
1315,861
1859,1775
132,1013
1153,1568
388,1270
912,645
1663,360
1590,1690
500,1038
517,1589
256,1097
861,546
23,1817
727,664
1555,658
355,1977
1736,398
257,1461
1257,1549
1093,1136
182,584
1941,1514
1187,287
1111,1195
688,1738
580,732
754,418
1493,1783
1449,1819
176,948
1726,750
717,936
1925,264
996,838
1848,1046
616,1422
1104,91
1593,401
1228,1296
511,1419
1304,208
933,1460
916,828
401,647
458,1904
206,19
1264,1292
1640,1818
40,673
389,1920
1986,1111
936,932
404,849
1722,1623
546,1235
841,858
516,335
1207,892
881,91
690,331
449,87
829,251
481,1267
1598,1514
1837,105
584,719
878,81
1338,1204
1605,719
1420,1969
1309,1431
1612,72
1391,791
1675,827
336,1377
1764,454
704,178
824,1196
1443,941
1100,10
764,1746
512,1154
1809,1606
1596,1817
901,70
475,811
1846,1755
1811,533
275,1071
547,1198
1237,41
58,294
1614,418
942,103
242,1690
1097,1188
1302,1407
1961,1323
798,399
701,76
1976,1505
1310,598
1659,1643
712,1662
107,1000
848,1472
581,975
1392,0
549,561
859,1718
1833,409
1042,1774
1791,1681
421,1727
1550,1899
1484,992
775,54
1894,715
1830,1033
1745,1070
58,1317
607,582
1770,333
1302,58
1285,981
648,18
61,1682
1247,1510
292,551
1759,81
1769,1120
1008,1431
523,1971
1392,605
1478,899
1560,1123
267,1692
1788,888
475,528
1964,158
1009,1602
1414,653
520,1704
248,1577
394,1743
1531,1346
126,1747
1117,1450
492,869
1051,1689
1514,976
1220,1025
360,1221
313,1810
634,1627
596,570
695,697
1336,631
74,1808
1294,902
457,122
95,528
1889,970
1141,173
1570,515
851,811
78,1190
355,1015
1290,1809
1077,674
1204,474
1114,962
257,1382
1935,259
1701,1399
528,373
1686,1661
1002,212
602,1539
1896,1655
249,792
829,1025
664,1113
1291,1938
1191,121
1859,457
1529,1436
1155,226
1359,1539
1118,1543
401,1684
1527,418
993,1760
1985,1804
609,1576
625,1248
1540,788
727,860
37,1001
1383,626
1568,768
407,1603
1030,1785
180,776
278,1612
310,1853
324,1359
1603,110
1798,315
335,729
370,525
723,576
342,826
444,70
1040,124
1773,1828
57,1303
1247,1594
334,510
578,1056
1757,1418
1514,1450
1027,726
623,1916
988,1802
214,815
1384,450
472,253
1925,79
788,495
292,567
40,481
881,9
504,491
294,1379
832,498
311,747
1382,451
113,1207
1255,807
564,1315
720,1276
782,827
384,1027
1482,594
374,13
448,1953
137,999
260,125
1055,1927
1997,1600
1487,717
743,1187
740,141
906,902
561,1721
758,709
1352,1534
1681,1419
1332,730
1655,440
237,1141
355,56
328,1231
257,1360
322,668
1155,1676
25,539
1892,314
190,414
1895,1840
35,448
1263,1363
929,1944
1486,1678
1913,214
1707,652
519,981
1585,885
1793,1210
221,1913
1839,1824
1793,431
1970,888
526,1625
1468,514
739,362
1833,59
524,1382
1962,1053
1765,42
690,598
1395,673
1984,33
536,478
944,833
1815,1217
519,75
1219,1552
1997,1457
390,292
718,339
396,1994
439,256
1690,197
260,1403
910,954
1461,1013
706,428
995,25
877,1492
838,831
617,1593
1398,746
533,1319
1697,685
1188,1622
750,1954
1760,727
649,595
1260,781
1369,640
1550,602
470,1926
69,172
902,1538
351,1909
1715,564
1227,509
1811,139
1368,550
71,1858
1525,1781
1699,890
1376,534
819,1181
879,494
527,1079
563,1835
1145,1921
288,1982
1859,1600
1194,1119
1465,1354
582,1280
1019,624
1031,297
1806,1823
1661,597
1384,1386
860,544
1365,1446
390,1225
225,249
1589,447
704,1771
1716,182
944,1109
551,1186
41,86
1966,1354
491,1059
713,1582
1985,1398
773,154
914,1803
1380,1346
1626,1509
415,730
1000,375
1068,1397
825,149
1777,1953
291,1598
1702,1642
240,1244
409,1243
3,1155
633,331
1344,1240
781,1421
19,584
827,941
893,1581
1232,1746
603,1900
521,960
1101,1480
1587,1755
1571,862
144,0
436,665
1576,1369
1331,1366
1229,367
142,1863
1707,961
286,1291
1802,1753
716,362
826,600
1179,1857
1441,1847
844,1298
1636,1778
1804,1156
872,498
1858,1191
623,381
214,629
68,108
1462,1219
1764,1189
226,602
496,1414
324,633
1401,1319
1375,1909
175,947
1810,724
1468,1804
559,600
1058,255
1987,1665
274,361
1367,481
1004,908
798,1006
1188,193
1775,743
204,623
454,1430
1910,843
1088,993
879,555
1743,790
970,900
1909,751
1318,1438
1185,1202
1852,1585
239,760
1956,461
1012,513
101,1231
1897,1965
1731,691
1724,426
1664,994
1871,1471
1021,801
1312,324
1315,392
640,732
69,1474
1076,1696
1281,1177
1108,1327
1196,40
1910,750
1456,774
1389,544
797,129
132,1541
6,145
1118,168
915,290
1184,496
1922,932
1244,349
1913,1956
1246,1403
1560,1477
1190,835
1920,1648
1663,628
906,110
913,1151
715,1961
1019,1206
891,550
591,1832
530,1746
234,355
1112,1469
1626,844
1083,1660
1665,1308
1199,92
1205,14
1664,1923
1448,138
604,1900
1761,44
576,1451
1636,842
54,899
1519,204
1165,1510
1612,10
1719,1717
1259,273
463,1825
1853,68
1058,1158
56,1370
1795,1169
1494,197
1861,488
1663,1437
752,528
588,1922
716,1170
719,662
336,1749
1826,734
1251,337
518,380
258,1733
885,603
1696,915
610,583
1289,1090
915,1423
793,100
28,502
1645,1728
216,770
889,1055
1310,1709
1047,157
315,320
173,1688
505,1369
1457,1261
1015,1944
842,921
1653,675
677,1989
564,865
1623,586
1445,939
1604,673
854,1842
901,835
1726,1456
1452,957
1549,986
31,1003
683,1135
1081,163
989,442
857,1697
464,1813
677,1584
702,1374
683,1118
762,639
1461,1390
369,1556
905,199
1266,674
784,714
68,508
1888,1799
496,597
955,216
1915,1938
956,1759
157,1067
1137,1516
1821,1958
96,950
552,1521
22,348
712,1246
1562,415
670,1115
1884,1558
1391,1156
169,1923
1317,1244
1777,443
1321,1901
136,495
887,784
370,1059
1577,1192
466,1381
1127,1535
1222,1218
1394,1845
1769,754
1580,1367
1293,1621
63,667
312,1982
1367,333
719,1061
269,939
1940,1321
67,1172
1928,53
1873,904
564,982
38,1205
1361,1626
1808,590
1664,347
1552,51
599,965
1818,80
1071,1146
1188,1215
147,336
1705,1276
1185,1128
1746,244
1436,1665
738,1100
907,943
1860,1338
1452,1443
574,656
289,1671
1896,1020
1879,557
1408,1856
1555,412
1187,307
1240,1241
1689,308
1137,1553
1975,1614
81,1381
1761,1444
441,1366
681,1632
1759,1710
785,484
276,1986
98,1062
606,492
745,1466
910,110
1321,437
1900,462
620,1536
535,398
1522,715
1494,1674
912,358
552,1426
1336,1538
297,1413
1012,26
23,761
94,953
492,1356
1901,528
1372,1467
18,1874
917,865
1276,899
1202,556
857,1084
194,1139
21,1990
1528,1107
617,310
1686,772
718,1766
984,626
392,945
1727,1964
874,1693
3,1233
32,1245
837,1706
1683,1758
1790,28
1804,210
586,1298
922,87
1310,1145
1373,1022
653,1111
861,930
1703,433
1334,1469
424,718
1450,793
247,678
255,1401
354,1099
1635,1146
220,492
262,238
1979,791
264,977
1225,1493
810,415
1781,264
847,1978
992,106
122,3
1070,259
1154,1558
171,779
1211,1958
1537,1327
1894,432
347,1700
832,255
1556,280
1581,1413
308,1570
458,610
580,967
1267,636
1239,161
1272,1286
1171,1962
717,1097
1544,673
1566,1713
1646,1995
1854,1173
1488,1639
1052,1135
1565,1677
823,1332
1709,25
943,1455
387,1675
1941,1396
1442,1566
527,1271
820,1852
922,522
1040,230
1496,445
1610,1785
999,268
972,1261
32,1795
1764,292
499,1324
1510,1043
572,581
1971,1291
82,1616
237,1284
267,1421
480,1851
1785,260
1304,1490
1558,1902
19,1965
291,760
1077,481
925,760
974,1420
1916,975
592,1457
1073,67
667,1487
350,1757
1919,1012
309,207
1567,159
1392,1430
1117,215
1977,1787
607,638
1151,635
871,1928
498,1463
1902,323
1952,1671
1518,1042
1116,888
1390,433
801,863
1682,1300
616,1500
607,1338
1836,1849
1950,304
1323,1683
1629,1634
957,1486
982,708
1496,657
1279,1831
1203,1686
576,1675
144,850
865,277
1985,144
1470,325
1041,1436
397,404
231,776
635,46
1688,1584
973,914
721,224
417,553
1708,901
1115,304
1011,1139
1016,1578
1784,501
1953,1387
1015,141
704,1155
348,1707
1866,900
620,1891
220,1370
42,354
1619,1
1984,813
1084,1793
342,352
573,1813
1923,1354
1888,1007
1210,1189
1541,640
1554,1867
381,1912
1663,597
1830,1797
1697,37
795,425
602,76
1842,1662
1237,792
540,895
685,1564
1976,640
1124,218
1061,1934
192,34
831,260
196,1914
115,13
1410,158
341,1981
1632,576
138,632
1251,178
191,349
826,483
1896,1970
900,524
1161,555
685,69
967,1127
498,813
830,1023
1333,1486
1281,956
1521,1760
801,1263
947,947
1712,219
1274,518
829,1971
343,556
1154,1840
563,305
1782,1763
1883,178
53,899
921,489
1785,360
343,1548
230,1572
1345,856
425,1812
201,1089
1342,1000
257,1132
632,25
1162,528
970,816
853,1050
58,1642
659,318
744,750
305,1176
765,774
131,485
588,138
1824,660
1218,1452
1509,366
